110,76,105,140,181,224
120,88,119,156,199,244
130,100,133,172,216,263
140,111,146,187,233,282
150,122,158,201,249,299
160,133,171,215,264,316
170,144,183,229,280,333
180,155,195,242,294,349
190,165,206,255,308,364
200,175,218,267,322,379
210,185,229,279,335,393
220,195,239,291,348,407
230,204,250,303,361,421
240,213,260,314,373,434
250,222,270,325,385,447
260,231,280,336,397,460
270,240,289,346,408,472
280,248,299,356,419,484
290,257,308,366,430,495
300,265,317,376,441,507
310,273,326,386,451,518
